 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 01/12/2012   17:49:40
 ---------------------------------------------------------------------------------------------------------------------------------- 

18:00:33  |  General  |  Info  |  * Shutdown: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  51
18:00:33  |  General  |  Info  |  LanguageManager successfully shutdown  |  .\src\MyGUI_LanguageManager.cpp  |  55
18:00:33  |  General  |  Info  |  * Shutdown: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  60
18:00:33  |  General  |  Info  |  ResourceManager successfully shutdown  |  .\src\MyGUI_ResourceManager.cpp  |  71
18:00:33  |  General  |  Info  |  * Shutdown: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  100
18:00:33  |  General  |  Info  |  * Unregister widget factory 'TabItem'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Progress'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'ItemBox'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'StaticImage'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Message'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'RenderBox'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'ScrollView'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Canvas'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'DDContainer'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'MenuCtrl'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'MenuBar'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'PopupMenu'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'MenuItem'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'MultiList'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Tab'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Widget'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Button'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'ComboBox'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'StaticText'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'Window'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:33  |  General  |  Info  |  * Unregister widget factory 'HScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:34  |  General  |  Info  |  * Unregister widget factory 'VScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:34  |  General  |  Info  |  * Unregister widget factory 'Edit'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:34  |  General  |  Info  |  * Unregister widget factory 'List'  |  .\src\MyGUI_WidgetManager.cpp  |  125
18:00:34  |  General  |  Info  |  WidgetManager successfully shutdown  |  .\src\MyGUI_WidgetManager.cpp  |  111
18:00:34  |  General  |  Info  |  Gui successfully shutdown  |  .\src\MyGUI_Gui.cpp  |  162
